,name,tipo,cmc,lealdade,texto,raridades,preços
0,"Ashiok, Nightmare Muse",Legendary Planeswalker — Ashiok,5,Loyalty: 5,"+1: Create a 2/3 blue and black Nightmare creature token with “Whenever this creature attacks or blocks, each opponent exiles the top two cards of their library.”−3: Return target nonland permanent to its owner’s hand, then that player exiles a card from their hand.−7: You may cast up to three spells from among face-up cards your opponents own from exile without paying their mana costs.",Mítica,R$ 18.45 
1,"Ajani, Sleeper Agent",Legendary Planeswalker — Ajani,4,Loyalty: 4,"Compleated ({G/W/P} can be paid with {G}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)+1: Reveal the top card of your library. If it’s a creature or planeswalker card, put it into your hand. Otherwise, you may put it on the bottom of your library.−3: Distribute three +1/+1 counters among up to three target creatures. They gain vigilance until end of turn.−6: You get an emblem with “Whenever you cast a creature or planeswalker spell, target opponent gets two poison counters.”",Mítica,R$ 19.90 
2,"Liliana, the Last Hope",Legendary Planeswalker — Liliana,3,Loyalty: 3,"+1: Up to one target creature gets -2/-1 until your next turn.−2: Mill two cards, then you may return a creature card from your graveyard to your hand.−7: You get an emblem with “At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.”",Mítica,R$ 0.00 
3,"Aminatou, the Fateshifter",Legendary Planeswalker — Aminatou,3,Loyalty: 3,"+1: Draw a card, then put a card from your hand on top of your library.−1: Exile another target permanent you own, then return it to the battlefield under your control.−6: Choose left or right. Each player gains control of all nonland permanents other than Aminatou, the Fateshifter controlled by the next player in the chosen direction.Aminatou, the Fateshifter can be your commander.",Mítica,R$ 229.29 
4,"Nicol Bolas, God-Pharaoh",Legendary Planeswalker — Bolas,7,Loyalty: 7,"+2: Target opponent exiles cards from the top of their library until they exile a nonland card. Until end of turn, you may cast that card without paying its mana cost.+1: Each opponent exiles two cards from their hand.−4: Nicol Bolas, God-Pharaoh deals 7 damage to target opponent, creature an opponent controls, or planeswalker an opponent controls.−12: Exile each nonland permanent your opponents control.",Mítica,R$ 43.99 
5,Wrenn and Six,Legendary Planeswalker — Wrenn,2,Loyalty: 3,+1: Return up to one target land card from your graveyard to your hand.−1: Wrenn and Six deals 1 damage to any target.−7: You get an emblem with “Instant and sorcery cards in your graveyard have retrace.” (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.),Mítica,R$ 0.00 
6,Karn Liberated,Legendary Planeswalker — Karn,7,Loyalty: 6,"+4: Target player exiles a card from their hand.−3: Exile target permanent.−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.",Mítica,R$ 79.00 
7,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,4,Loyalty: 3,"+2: Look at the top card of target player’s library. You may put that card on the bottom of that player’s library.0: Draw three cards, then put two cards from your hand on top of your library in any order.−1: Return target creature to its owner’s hand.−12: Exile all cards from target player’s library, then that player shuffles their hand into their library.",Mítica,R$ 1.900.00 
8,Ajani Unyielding,Legendary Planeswalker — Ajani,6,Loyalty: 4,+2: Reveal the top three cards of your library. Put all nonland permanent cards revealed this way into your hand and the rest on the bottom of your library in any order.−2: Exile target creature. Its controller gains life equal to its power.−9: Put five +1/+1 counters on each creature you control and five loyalty counters on each other planeswalker you control.,Mítica,R$ 1.90 
9,Tezzeret the Schemer,Legendary Planeswalker — Tezzeret,4,Loyalty: 5,"+1: Create a colorless artifact token named Etherium Cell with “{T}, Sacrifice this artifact: Add one mana of any color.”−2: Target creature gets +X/-X until end of turn, where X is the number of artifacts you control.−7: You get an emblem with “At the beginning of combat on your turn, target artifact you control becomes an artifact creature with base power and toughness 5/5.”",Mítica,R$ 4.01 
10,"Ajani, Valiant Protector",Legendary Planeswalker — Ajani,6,Loyalty: 4,"+2: Put two +1/+1 counters on up to one target creature.+1: Reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.−11: Put X +1/+1 counters on target creature, where X is your life total. That creature gains trample until end of turn.",Mítica,R$ 12.23 
11,"Tezzeret, Master of Metal",Legendary Planeswalker — Tezzeret,6,Loyalty: 5,+1: Reveal cards from the top of your library until you reveal an artifact card. Put that card into your hand and the rest on the bottom of your library in a random order.−3: Target opponent loses life equal to the number of artifacts you control.−8: Gain control of all artifacts and creatures target opponent controls.,Mítica,R$ 14.95 
12,Gideon of the Trials,Legendary Planeswalker — Gideon,3,Loyalty: 3,"+1: Until your next turn, prevent all damage target permanent would deal.0: Until end of turn, Gideon of the Trials becomes a 4/4 Human Soldier creature with indestructible that’s still a planeswalker. Prevent all damage that would be dealt to him this turn.0: You get an emblem with “As long as you control a Gideon planeswalker, you can’t lose the game and your opponents can’t win the game.”",Mítica,R$ 0.00 
13,"Liliana, Death's Majesty",Legendary Planeswalker — Liliana,5,Loyalty: 5,+1: Create a 2/2 black Zombie creature token. Mill two cards.−3: Return target creature card from your graveyard to the battlefield. That creature is a black Zombie in addition to its other colors and types.−7: Destroy all non-Zombie creatures.,Mítica,R$ 11.00 
14,"Nissa, Steward of Elements",Legendary Planeswalker — Nissa,2,Loyalty: X,"+2: Scry 2.0: Look at the top card of your library. If it’s a land card or a creature card with mana value less than or equal to the number of loyalty counters on Nissa, Steward of Elements, you may put that card onto the battlefield.−6: Untap up to two target lands you control. They become 5/5 Elemental creatures with flying and haste until end of turn. They’re still lands.",Mítica,R$ 0.00 
15,"Gideon, Martial Paragon",Legendary Planeswalker — Gideon,5,Loyalty: 5,"+2: Untap all creatures you control. Those creatures get +1/+1 until end of turn.0: Until end of turn, Gideon, Martial Paragon becomes a 5/5 Human Soldier creature with indestructible that’s still a planeswalker. Prevent all damage that would be dealt to him this turn.−10: Creatures you control get +2/+2 until end of turn. Tap all creatures your opponents control.",Mítica,R$ 10.16 
16,"Liliana, Death Wielder",Legendary Planeswalker — Liliana,7,Loyalty: 5,+2: Put a -1/-1 counter on up to one target creature.−3: Destroy target creature with a -1/-1 counter on it.−10: Return all creature cards from your graveyard to the battlefield.,Mítica,R$ 9.99 
17,"Elspeth, Knight-Errant",Legendary Planeswalker — Elspeth,4,Loyalty: 4,"+1: Create a 1/1 white Soldier creature token.+1: Target creature gets +3/+3 and gains flying until end of turn.−8: You get an emblem with “Artifacts, creatures, enchantments, and lands you control have indestructible.”",Mítica,R$ 74.00 
18,Tezzeret the Seeker,Legendary Planeswalker — Tezzeret,5,Loyalty: 4,"+1: Untap up to two target artifacts.−X: Search your library for an artifact card with mana value X or less, put it onto the battlefield, then shuffle.−5: Artifacts you control become artifact creatures with base power and toughness 5/5 until end of turn.",Rara,R$ 184.90 
19,Ajani Vengeant,Legendary Planeswalker — Ajani,4,Loyalty: 3,+1: Target permanent doesn’t untap during its controller’s next untap step.−2: Ajani Vengeant deals 3 damage to any target and you gain 3 life.−7: Destroy all lands target player controls.,Mítica,R$ 3.99 
20,Sarkhan Vol,Legendary Planeswalker — Sarkhan,4,Loyalty: 4,+1: Creatures you control get +1/+1 and gain haste until end of turn.−2: Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.−6: Create five 4/4 red Dragon creature tokens with flying.,Mítica,R$ 86.50 
21,"Tamiyo, the Moon Sage",Legendary Planeswalker — Tamiyo,5,Loyalty: 4,"+1: Tap target permanent. It doesn’t untap during its controller’s next untap step.−2: Draw a card for each tapped creature target player controls.−8: You get an emblem with “You have no maximum hand size” and “Whenever a card is put into your graveyard from anywhere, you may return it to your hand.”",Mítica,R$ 29.90 
22,"Tibalt, the Fiend-Blooded",Legendary Planeswalker — Tibalt,2,Loyalty: 2,"+1: Draw a card, then discard a card at random.−4: Tibalt, the Fiend-Blooded deals damage equal to the number of cards in target player’s hand to that player.−6: Gain control of all creatures until end of turn. Untap them. They gain haste until end of turn.",Mítica,R$ 57.50 
23,Will Kenrith,Legendary Planeswalker — Will,6,Loyalty: 4,"+2: Until your next turn, up to two target creatures each have base power and toughness 0/3 and lose all abilities.−2: Target player draws two cards. Until your next turn, instant, sorcery, and planeswalker spells that player casts cost {2} less to cast.−8: Target player gets an emblem with “Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy.”Partner with Rowan KenrithWill Kenrith can be your commander.",Mítica,R$ 3.62 
24,Rowan Kenrith,Legendary Planeswalker — Rowan,6,Loyalty: 4,"+2: During target player’s next turn, each creature that player controls attacks if able.−2: Rowan Kenrith deals 3 damage to each tapped creature target player controls.−8: Target player gets an emblem with “Whenever you activate an ability that isn’t a mana ability, copy it. You may choose new targets for the copy.”Partner with Will KenrithRowan Kenrith can be your commander.",Mítica,R$ 2.83 
25,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,4,Loyalty: 4,"+1: Until end of turn, Gideon, Ally of Zendikar becomes a 5/5 Human Soldier Ally creature with indestructible that’s still a planeswalker. Prevent all damage that would be dealt to him this turn.0: Create a 2/2 white Knight Ally creature token.−4: You get an emblem with “Creatures you control get +1/+1.”",Mítica,R$ 34.88 
26,Ob Nixilis Reignited,Legendary Planeswalker — Nixilis,5,Loyalty: 5,"+1: You draw a card and you lose 1 life.−3: Destroy target creature.−8: Target opponent gets an emblem with “Whenever a player draws a card, you lose 2 life.”",Mítica,R$ 2.90 
27,"Kiora, Master of the Depths",Legendary Planeswalker — Kiora,4,Loyalty: 4,"+1: Untap up to one target creature and up to one target land.−2: Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.−8: You get an emblem with “Whenever a creature enters the battlefield under your control, you may have it fight target creature.” Then create three 8/8 blue Octopus creature tokens.",Mítica,R$ 4.25 
28,"Kiora, the Crashing Wave",Legendary Planeswalker — Kiora,4,Loyalty: 2,"+1: Until your next turn, prevent all damage that would be dealt to and dealt by target permanent an opponent controls.−1: Draw a card. You may play an additional land this turn.−5: You get an emblem with “At the beginning of your end step, create a 9/9 blue Kraken creature token.”",Mítica,R$ 5.31 
29,"Nahiri, the Lithomancer",Legendary Planeswalker — Nahiri,5,Loyalty: 3,"+2: Create a 1/1 white Kor Soldier creature token. You may attach an Equipment you control to it.−2: You may put an Equipment card from your hand or graveyard onto the battlefield.−10: Create a colorless Equipment artifact token named Stoneforged Blade. It has indestructible, “Equipped creature gets +5/+5 and has double strike,” and equip {0}.Nahiri, the Lithomancer can be your commander.",Rara,R$ 13.27
30,"Teferi, Temporal Archmage",Legendary Planeswalker — Teferi,6,Loyalty: 5,"+1: Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.−1: Untap up to four target permanents.−10: You get an emblem with “You may activate loyalty abilities of planeswalkers you control on any player’s turn any time you could cast an instant.”Teferi, Temporal Archmage can be your commander.",Rara,R$ 39.99
31,Ob Nixilis of the Black Oath,Legendary Planeswalker — Nixilis,5,Loyalty: 3,"+2: Each opponent loses 1 life. You gain life equal to the life lost this way.−2: Create a 5/5 black Demon creature token with flying. You lose 2 life.−8: You get an emblem with “{1}{B}, Sacrifice a creature: You gain X life and draw X cards, where X is the sacrificed creature’s power.”Ob Nixilis of the Black Oath can be your commander.",Rara,R$ 14.99
32,Wake the Dead,Legendary Planeswalker — Liliana,2,Loyalty: 4,"+1: Each player discards a card. Each opponent who can’t loses 3 life.−3: Target creature gets -X/-X until end of turn, where X is the number of cards in your graveyard.−7: You get an emblem with “At the beginning of combat on your turn, put target creature card from a graveyard onto the battlefield under your control. It gains haste.”",Rara,R$ 11.98
33,"Daretti, Scrap Savant",Legendary Planeswalker — Daretti,4,Loyalty: 3,"+2: Discard up to two cards, then draw that many cards.−2: Sacrifice an artifact. If you do, return target artifact card from your graveyard to the battlefield.−10: You get an emblem with “Whenever an artifact is put into your graveyard from the battlefield, return that card to the battlefield at the beginning of the next end step.”Daretti, Scrap Savant can be your commander.",Rara,R$ 14.90
34,"Freyalise, Llanowar's Fury",Legendary Planeswalker — Freyalise,5,Loyalty: 3,"+2: Create a 1/1 green Elf Druid creature token with “{T}: Add {G}.”−2: Destroy target artifact or enchantment.−6: Draw a card for each green creature you control.Freyalise, Llanowar’s Fury can be your commander.",Rara,R$ 34.95
35,"Estrid, the Masked",Legendary Planeswalker — Estrid,4,Loyalty: 3,"+2: Untap each enchanted permanent you control.−1: Create a white Aura enchantment token named Mask attached to another target permanent. The token has enchant permanent and totem armor.−7: Mill seven cards. Return all non-Aura enchantment cards from your graveyard to the battlefield, then do the same for Aura cards.Estrid, the Masked can be your commander.",Mítica,R$ 2.98 
36,Lord Windgrace,Legendary Planeswalker — Windgrace,5,Loyalty: 5,"+2: Discard a card, then draw a card. If a land card is discarded this way, draw an additional card.−3: Return up to two target land cards from your graveyard to the battlefield.−11: Destroy up to six target nonland permanents, then create six 2/2 green Cat Warrior creature tokens with forestwalk.Lord Windgrace can be your commander.",Mítica,R$ 43.99 
37,"Saheeli, the Gifted",Legendary Planeswalker — Saheeli,4,Loyalty: 4,"+1: Create a 1/1 colorless Servo artifact creature token.+1: The next spell you cast this turn costs {1} less to cast for each artifact you control as you cast it.−7: For each artifact you control, create a token that’s a copy of it. Those tokens gain haste. Exile those tokens at the beginning of the next end step.Saheeli, the Gifted can be your commander.",Mítica,R$ 4.25 
38,"Garruk, Primal Hunter",Legendary Planeswalker — Garruk,5,Loyalty: 3,+1: Create a 3/3 green Beast creature token.−3: Draw cards equal to the greatest power among creatures you control.−6: Create a 6/6 green Wurm creature token for each land you control.,Mítica,R$ 2.99 
39,Ral Zarek,Legendary Planeswalker — Ral,4,Loyalty: 4,"+1: Tap target permanent, then untap another target permanent.−2: Ral Zarek deals 3 damage to any target.−7: Flip five coins. Take an extra turn after this one for each coin that comes up heads.",Mítica,R$ 9.95 
40,Vraska the Unseen,Legendary Planeswalker — Vraska,5,Loyalty: 5,"+1: Until your next turn, whenever a creature deals combat damage to Vraska the Unseen, destroy that creature.−3: Destroy target nonland permanent.−7: Create three 1/1 black Assassin creature tokens with “Whenever this creature deals combat damage to a player, that player loses the game.”",Mítica,R$ 2.70 
41,"Jace, Architect of Thought",Legendary Planeswalker — Jace,4,Loyalty: 4,"+1: Until your next turn, whenever a creature an opponent controls attacks, it gets -1/-0 until end of turn.−2: Reveal the top three cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other on the bottom of your library in any order.−8: For each player, search that player’s library for a nonland card and exile it, then that player shuffles. You may cast those cards without paying their mana costs.",Mítica,R$ 0.89 
42,"Chandra, Flamecaller",Legendary Planeswalker — Chandra,6,Loyalty: 4,"+1: Create two 3/1 red Elemental creature tokens with haste. Exile them at the beginning of the next end step.0: Discard all the cards in your hand, then draw that many cards plus one.−X: Chandra, Flamecaller deals X damage to each creature.",Mítica,R$ 2.99 
43,"Nahiri, the Harbinger",Legendary Planeswalker — Nahiri,4,Loyalty: 4,"+2: You may discard a card. If you do, draw a card.−2: Exile target enchantment, tapped artifact, or tapped creature.−8: Search your library for an artifact or creature card, put it onto the battlefield, then shuffle. It gains haste. Return it to your hand at the beginning of the next end step.",Mítica,R$ 2.51 
44,"Gideon, Champion of Justice",Legendary Planeswalker — Gideon,4,Loyalty: 4,"+1: Put a loyalty counter on Gideon, Champion of Justice for each creature target opponent controls.0: Until end of turn, Gideon, Champion of Justice becomes a Human Soldier creature with power and toughness each equal to the number of loyalty counters on him and gains indestructible. He’s still a planeswalker. Prevent all damage that would be dealt to him this turn.−15: Exile all other permanents.",Mítica,R$ 2.20 
45,Jaya Ballard,Legendary Planeswalker — Jaya,5,Loyalty: 5,"+1: Add {R}{R}{R}. Spend this mana only to cast instant or sorcery spells.+1: Discard up to three cards, then draw that many cards.−8: You get an emblem with “You may cast instant and sorcery spells from your graveyard. If a spell cast this way would be put into your graveyard, exile it instead.”",Mítica,R$ 78.99 
46,"Ashiok, Nightmare Weaver",Legendary Planeswalker — Ashiok,3,Loyalty: 3,"+2: Exile the top three cards of target opponent’s library.−X: Put a creature card with mana value X exiled with Ashiok, Nightmare Weaver onto the battlefield under your control. That creature is a Nightmare in addition to its other types.−10: Exile all cards from all opponents’ hands and graveyards.",Mítica,R$ 7.90 
47,Elminster,Legendary Planeswalker — Elminster,5,Loyalty: 5,"Whenever you scry, the next instant or sorcery spell you cast this turn costs {X} less to cast, where X is the number of cards looked at while scrying this way.+2: Draw a card, then scry 2.−3: Exile the top card of your library. Create a number of 1/1 blue Faerie Dragon creature tokens with flying equal to that card’s mana value.Elminster can be your commander.",Mítica,R$ 13.72 
48,"Minsc & Boo, Timeless Heroes",Legendary Planeswalker — Minsc,4,Loyalty: 3,"When Minsc & Boo, Timeless Heroes enters the battlefield and at the beginning of your upkeep, if you don’t control a creature named Boo, create Boo, a legendary 1/1 red Hamster creature token with trample and haste.+1: Put three +1/+1 counters on up to one target creature with trample or haste.−2: Sacrifice a creature. When you do, Minsc & Boo, Timeless Heroes deals X damage to any target, where X is that creature’s power. If the sacrificed creature was a Hamster, draw X cards.",Mítica,R$ 0.00 
49,"Tasha, the Witch Queen",Legendary Planeswalker — Tasha,5,Loyalty: 4,"Whenever you cast a spell you don’t own, create a 3/3 black Demon creature token.+1: Draw a card. For each opponent, exile up to one target instant or sorcery card from that player’s graveyard and put a page counter on it.−3: You may cast a spell from among cards in exile with page counters on them without paying its mana cost.Tasha, the Witch Queen can be your commander.",Mítica,R$ 20.68 
50,"Vivien, Champion of the Wilds",Legendary Planeswalker — Vivien,3,Loyalty: 4,"You may cast creature spells as though they had flash.+1: Until your next turn, up to one target creature gains vigilance and reach.−2: Look at the top three cards of your library. Exile one face down and put the rest on the bottom of your library in any order. For as long as it remains exiled, you may look at that card and you may cast it if it’s a creature spell.",Rara,R$ 4.66 
51,"Xenagos, the Reveler",Legendary Planeswalker — Xenagos,4,Loyalty: 3,"+1: Add X mana in any combination of {R} and/or {G}, where X is the number of creatures you control.0: Create a 2/2 red and green Satyr creature token with haste.−6: Exile the top seven cards of your library. You may put any number of creature and/or land cards from among them onto the battlefield.",Mítica,R$ 5.99 
52,Tibalt the Chaotic,Legendary Planeswalker — Tibalt,3,Loyalty: 4,"+1: Cast a copy of one of the following cards chosen at random—Ignorant Bliss, Crack the Earth, Blazing Volley.−3: Cast a copy of one of the following cards chosen at random—Seething Song, Dance with Devils, Flamebreak.−6: Cast a copy of one of the following cards chosen at random—Hellion Eruption, Insurrection, Warp World.",Rara,R$ 8.00 
53,"Abian, Luvion Usurper",Legendary Planeswalker — Abian,7,Loyalty: 5,"As Abian, Luvion Usurper enters the battlefield, you become Abian. (Your life total becomes equal to their loyalty. You can activate the loyalty abilities by spending or gaining life.)+3: Discard your hand, then draw cards equal to the greatest power among creatures you control.+1: Create a 3/2 red and green Spirit creature token.−X: You deal X damage to any target.",Rara,R$ 6.95 
54,"Kaya, Ghost Haunter",Legendary Planeswalker — Kaya,4,Loyalty: 3,"0: Exile Kaya, Ghost Haunter haunting target creature for as long as that creature remains on the battlefield.−1: You get an emblem with, “At the beginning of your upkeep, this emblem deals 3 damage to the owner of target haunted creature.”−2: You get an emblem with, “At the beginning of your upkeep, gain control of target haunted creature for as long as it remains haunted.”",Rara,R$ 1.50 
55,Garruk Wildspeaker,Legendary Planeswalker — Garruk,4,Loyalty: 3,+1: Untap two target lands.−1: Create a 3/3 green Beast creature token.−4: Creatures you control get +3/+3 and gain trample until end of turn.,Mítica,R$ 99.90
56,Commodore Guff,Legendary Planeswalker — Guff,4,Loyalty: 5,"At the beginning of your end step, put a loyalty counter on another target planeswalker you control.+1: Create a 1/1 red Wizard creature token with “{T}: Add {R}. Spend this mana only to cast a planeswalker spell.”−3: You draw X cards and Commodore Guff deals X damage to each opponent, where X is the number of planeswalkers you control.Commodore Guff can be your commander.",Mítica,R$ 13.12 
57,"Teyo, Geometric Tactician",Legendary Planeswalker — Teyo,3,Loyalty: 3,"When Teyo, Geometric Tactician enters the battlefield, create a 0/4 white Wall creature token with defender and flying.+1: You and target opponent each draw a card.−2: Choose left or right. Until your next turn, each player may attack only the nearest opponent in the last chosen direction and planeswalkers controlled by that opponent.",Rara,R$ 10.49 
58,"Vronos, Masked Inquisitor",Legendary Planeswalker — Vronos,5,Loyalty: 5,"+1: Up to two other target planeswalkers you control phase out at the beginning of the next end step. (Treat them and anything attached to them as though they don’t exist until your next turn.)−2: For each opponent, return up to one target nonland permanent that player controls to its owner’s hand.−7: Target artifact you control becomes a 9/9 Construct artifact creature and gains vigilance, indestructible, and “This creature can’t be blocked.”",Rara,R$ 20.50 
59,"Chandra, Legacy of Fire",Legendary Planeswalker — Chandra,5,Loyalty: 3,"At the beginning of your end step, Chandra, Legacy of Fire deals X damage to each opponent, where X is the number of planeswalkers you control.+1: Add {R} for each planeswalker you control.0: Remove a loyalty counter from each of any number of permanents you control. Exile that many cards from the top of your library. You may play them this turn.",Rara,R$ 9.74 
60,"Ugin, the Ineffable",Legendary Planeswalker — Ugin,6,Loyalty: 4,"Colorless spells you cast cost {2} less to cast.+1: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand.−3: Destroy target permanent that’s one or more colors.",Rara,R$ 7.49 
61,Ajani Steadfast,Legendary Planeswalker — Ajani,4,Loyalty: 4,"+1: Until end of turn, up to one target creature gets +1/+1 and gains first strike, vigilance, and lifelink.−2: Put a +1/+1 counter on each creature you control and a loyalty counter on each other planeswalker you control.−7: You get an emblem with “If a source would deal damage to you or a planeswalker you control, prevent all but 1 of that damage.”",Mítica,R$ 4.70 
62,"Elspeth, Sun's Champion",Legendary Planeswalker — Elspeth,6,Loyalty: 4,+1: Create three 1/1 white Soldier creature tokens.−3: Destroy all creatures with power 4 or greater.−7: You get an emblem with “Creatures you control get +2/+2 and have flying.”,Mítica,R$ 6.39 
