,name,tipo,cmc,lealdade,texto,raridades,preços
63,Gideon Jura,Legendary Planeswalker — Gideon,5,Loyalty: 6,"+2: During target opponent’s next turn, creatures that player controls attack Gideon Jura if able.−2: Destroy target tapped creature.0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that’s still a planeswalker. Prevent all damage that would be dealt to him this turn.",Mítica,R$ 0.89 
64,The Wanderer,Legendary Planeswalker,4,Loyalty: 5,"No more than one creature can attack The Eternal Wanderer each combat.+1: Exile up to one target artifact or creature. Return that card to the battlefield under its owner’s control at the beginning of that player’s next end step.0: Create a 2/2 white Samurai creature token with double strike.−4: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way.",Incomum,R$ 0.80 
65,Jace Beleren,Legendary Planeswalker — Jace,3,Loyalty: 3,+2: Each player draws a card.−1: Target player draws a card.−10: Target player mills twenty cards.,Mítica,R$ 400.00 
66,"Jace, Mirror Mage",Legendary Planeswalker — Jace,3,Loyalty: 4,"Kicker {2}When Jace, Mirror Mage enters the battlefield, if Jace was kicked, create a token that’s a copy of Jace, Mirror Mage, except it’s not legendary and its starting loyalty is 1.+1: Scry 2.0: Draw a card and reveal it. Remove a number of loyalty counters equal to that card’s mana value from Jace, Mirror Mage.",Mítica,R$ 1.99 
67,"Narset, Parter of Veils",Legendary Planeswalker — Narset,3,Loyalty: 5,"Each opponent can’t draw more than one card each turn.−2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Incomum,R$ 3.95 
68,"Chandra, Awakened Inferno",Legendary Planeswalker — Chandra,6,Loyalty: 6,"This spell can’t be countered.+2: Each opponent gets an emblem with “At the beginning of your upkeep, this emblem deals 1 damage to you.”−3: Chandra, Awakened Inferno deals 3 damage to each non-Elemental creature.−X: Chandra, Awakened Inferno deals X damage to target creature or planeswalker. If a permanent dealt damage this way would die this turn, exile it instead.",Mítica,R$ 14.75 
69,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,4,Loyalty: 4,"+1: Exile the top card of your library. You may cast that card. If you don’t, Chandra, Torch of Defiance deals 2 damage to each opponent.+1: Add {R}{R}.−3: Chandra, Torch of Defiance deals 4 damage to target creature.−7: You get an emblem with “Whenever you cast a spell, this emblem deals 5 damage to any target.”",Mítica,R$ 6.00 
70,Sarkhan the Masterless,Legendary Planeswalker — Sarkhan,5,Loyalty: 5,"Whenever a creature attacks you or a planeswalker you control, each Dragon you control deals 1 damage to that creature.+1: Until end of turn, each planeswalker you control becomes a 4/4 red Dragon creature and gains flying.−3: Create a 4/4 red Dragon creature token with flying.",Rara,R$ 0.52 
71,"Calix, Destiny's Hand",Legendary Planeswalker — Calix,4,Loyalty: 4,+1: Look at the top four cards of your library. You may reveal an enchantment card from among them and put that card into your hand. Put the rest on the bottom of your library in a random order.−3: Exile target creature or enchantment you don’t control until target enchantment you control leaves the battlefield.−7: Return all enchantment cards from your graveyard to the battlefield.,Mítica,R$ 5.31 
72,Narset of the Ancient Way,Legendary Planeswalker — Narset,4,Loyalty: 4,"+1: You gain 2 life. Add {U}, {R}, or {W}. Spend this mana only to cast a noncreature spell.−2: Draw a card, then you may discard a card. When you discard a nonland card this way, Narset of the Ancient Way deals damage equal to that card’s mana value to target creature or planeswalker.−6: You get an emblem with “Whenever you cast a noncreature spell, this emblem deals 2 damage to any target.”",Mítica,R$ 2.93 
73,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,3,Loyalty: 5,"Whenever you cast a noncreature spell, create a 1/1 colorless Servo artifact creature token.−2: Target artifact you control becomes a copy of another target artifact or creature you control until end of turn, except it’s an artifact in addition to its other types.",Incomum,R$ 0.99 
74,"Tevesh Szat, Doom of Fools",Legendary Planeswalker — Szat,5,Loyalty: 4,"+2: Create two 0/1 black Thrull creature tokens.+1: You may sacrifice another creature or planeswalker. If you do, draw two cards, then draw another card if the sacrificed permanent was a commander.−10: Gain control of all commanders. Put all commanders from the command zone onto the battlefield under your control.Tevesh Szat, Doom of Fools can be your commander.Partner",Mítica,R$ 169.99 
75,"Jeska, Thrice Reborn",Legendary Planeswalker — Jeska,3,Loyalty: 0,"Jeska, Thrice Reborn enters the battlefield with a loyalty counter on her for each time you’ve cast a commander from the command zone this game.0: Choose target creature. Until your next turn, if that creature would deal combat damage to one of your opponents, it deals triple that damage to that player instead.−X: Jeska, Thrice Reborn deals X damage to each of up to three targets.Jeska, Thrice Reborn can be your commander.Partner",Mítica,R$ 189.99
76,"Daretti, Ingenious Iconoclast",Legendary Planeswalker — Daretti,3,Loyalty: 3,"+1: Create a 1/1 colorless Construct artifact creature token with defender.−1: You may sacrifice an artifact. If you do, destroy target artifact or creature.−6: Choose target artifact card in a graveyard or artifact on the battlefield. Create three tokens that are copies of it.",Mítica,R$ 135.35 
77,"Kaya, Ghost Assassin",Legendary Planeswalker — Kaya,4,Loyalty: 5,"0: Exile Kaya, Ghost Assassin or up to one target creature. Return that card to the battlefield under its owner’s control at the beginning of your next upkeep. You lose 2 life.−1: Each opponent loses 2 life and you gain 2 life.−2: Each opponent discards a card and you draw a card.",Mítica,R$ 34.30 
78,Dack Fayden,Legendary Planeswalker — Dack,3,Loyalty: 3,"+1: Target player draws two cards, then discards two cards.−2: Gain control of target artifact.−6: You get an emblem with “Whenever you cast a spell that targets one or more permanents, gain control of those permanents.”",Mítica,R$ 58.00 
79,"Nicol Bolas, Planeswalker",Legendary Planeswalker — Bolas,8,Loyalty: 5,"+3: Destroy target noncreature permanent.−2: Gain control of target creature.−9: Nicol Bolas, Planeswalker deals 7 damage to target player or planeswalker. That player or that planeswalker’s controller discards seven cards, then sacrifices seven permanents.",Mítica,R$ 12.70 
80,Chandra Nalaar,Legendary Planeswalker — Chandra,5,Loyalty: 6,+1: Chandra Nalaar deals 1 damage to target player or planeswalker.−X: Chandra Nalaar deals X damage to target creature.−8: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker’s controller controls.,Mítica,R$ 99.90
81,Liliana Vess,Legendary Planeswalker — Liliana,5,Loyalty: 5,"+1: Target player discards a card.−2: Search your library for a card, then shuffle and put that card on top.−8: Put all creature cards from all graveyards onto the battlefield under your control.",Mítica,R$ 118.00
82,"Venser, the Sojourner",Legendary Planeswalker — Venser,5,Loyalty: 3,"+2: Exile target permanent you own. Return it to the battlefield under your control at the beginning of the next end step.−1: Creatures can’t be blocked this turn.−8: You get an emblem with “Whenever you cast a spell, exile target permanent.”",Mítica,R$ 138.38 
83,Koth of the Hammer,Legendary Planeswalker — Koth,4,Loyalty: 3,+1: Untap target Mountain. It becomes a 4/4 red Elemental creature until end of turn. It’s still a land.−2: Add {R} for each Mountain you control.−5: You get an emblem with “Mountains you control have ‘{T}: This land deals 1 damage to any target.’”,Mítica,R$ 39.99 
84,"Sorin, Lord of Innistrad",Legendary Planeswalker — Sorin,4,Loyalty: 3,+1: Create a 1/1 black Vampire creature token with lifelink.−2: You get an emblem with “Creatures you control get +1/+0.”−6: Destroy up to three target creatures and/or other planeswalkers. Return each card put into a graveyard this way to the battlefield under your control.,Mítica,R$ 5.49 
85,"Nissa, Voice of Zendikar",Legendary Planeswalker — Nissa,3,Loyalty: 3,"+1: Create a 0/1 green Plant creature token.−2: Put a +1/+1 counter on each creature you control.−7: You gain X life and draw X cards, where X is the number of lands you control.",Mítica,R$ 7.00 
86,"Dihada, Binder of Wills",Legendary Planeswalker — Dihada,4,Loyalty: 5,"+2: Up to one target legendary creature gains vigilance, lifelink, and indestructible until your next turn.−3: Reveal the top four cards of your library. Put any number of legendary cards from among them into your hand and the rest into your graveyard. Create a Treasure token for each card put into your graveyard this way.−11: Gain control of all nonland permanents until end of turn. Untap them. They gain haste until end of turn.Dihada, Binder of Wills can be your commander.",Mítica,R$ 15.22 
87,Jared Carthalion,Legendary Planeswalker — Jared,5,Loyalty: 5,"+1: Create a 3/3 Kavu creature token with trample that’s all colors.−3: Choose up to two target creatures. For each of them, put a number of +1/+1 counters on it equal to the number of colors it is.−6: Return target multicolored card from your graveyard to your hand. If that card was all colors, draw a card and create two Treasure tokens.Jared Carthalion can be your commander.",Mítica,R$ 2.51 
88,"Sivitri, Dragon Master",Legendary Planeswalker — Sivitri,4,Loyalty: 4,"+1: Until your next turn, creatures can’t attack you or planeswalkers you control unless their controller pays 2 life for each of those creatures.−3: Search your library for a Dragon card, reveal it, put it into your hand, then shuffle.−7: Destroy all non-Dragon creatures.Sivitri, Dragon Master can be your commander.",Mítica,R$ 42.54 
89,"Karn, Living Legacy",Legendary Planeswalker — Karn,4,Loyalty: 4,"+1: Create a tapped Powerstone token. (It’s an artifact with “{T}: Add {C}. This mana can’t be spent to cast a nonartifact spell.”)−1: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.−7: You get an emblem with “Tap an untapped artifact you control: This emblem deals 1 damage to any target.”",Mítica,R$ 10.90 
90,Liliana of the Veil,Legendary Planeswalker — Liliana,3,Loyalty: 3,+1: Each player discards a card.−2: Target player sacrifices a creature.−6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.,Mítica,R$ 94.75 
91,"Jaya, Fiery Negotiator",Legendary Planeswalker — Jaya,4,Loyalty: 4,"+1: Create a 1/1 red Monk creature token with prowess.−1: Exile the top two cards of your library. Choose one of them. You may play that card this turn.−2: Choose target creature an opponent controls. Whenever you attack this turn, Jaya, Fiery Negotiator deals damage equal to the number of attacking creatures to that creature.−8: You get an emblem with “Whenever you cast a red instant or sorcery spell, copy it twice. You may choose new targets for the copies.”",Mítica,R$ 8.90 
92,"Ajani, Sleeper Agent",Legendary Planeswalker — Ajani,4,Loyalty: 4,"Compleated ({G/W/P} can be paid with {G}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)+1: Reveal the top card of your library. If it’s a creature or planeswalker card, put it into your hand. Otherwise, you may put it on the bottom of your library.−3: Distribute three +1/+1 counters among up to three target creatures. They gain vigilance until end of turn.−6: You get an emblem with “Whenever you cast a creature or planeswalker spell, target opponent gets two poison counters.”",Mítica,R$ 26.64 
93,"Karn, Scion of Urza",Legendary Planeswalker — Karn,4,Loyalty: 5,+1: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it.−1: Put a card you own with a silver counter on it from exile into your hand.−2: Create a 0/0 colorless Construct artifact creature token with “This creature gets +1/+1 for each artifact you control.”,Mítica,R$ 298.69 
94,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,5,Loyalty: 4,"+1: Draw a card. At the beginning of the next end step, untap up to two lands.−3: Put target nonland permanent into its owner’s library third from the top.−8: You get an emblem with “Whenever you draw a card, exile target permanent an opponent controls.”",Special,R$ 161.99 
95,"Teferi, Timebender",Legendary Planeswalker — Teferi,6,Loyalty: 5,+2: Untap up to one target artifact or creature.−3: You gain 2 life and draw two cards.−9: Take an extra turn after this one.,Mítica,R$ 4.64 
96,"Chandra, Bold Pyromancer",Legendary Planeswalker — Chandra,6,Loyalty: 5,"+1: Add {R}{R}. Chandra, Bold Pyromancer deals 2 damage to target player.−3: Chandra, Bold Pyromancer deals 3 damage to target creature or planeswalker.−7: Chandra, Bold Pyromancer deals 10 damage to target player and each creature and planeswalker they control.",Mítica,R$ 11.75 
97,Narset Transcendent,Legendary Planeswalker — Narset,4,Loyalty: 6,"+1: Look at the top card of your library. If it’s a noncreature, nonland card, you may reveal it and put it into your hand.−2: When you cast your next instant or sorcery spell from your hand this turn, it gains rebound. (Exile the spell as it resolves. At the beginning of your next upkeep, you may cast that card from exile without paying its mana cost.)−9: You get an emblem with “Your opponents can’t cast noncreature spells.”",Mítica,R$ 27.90 
98,Sarkhan Unbroken,Legendary Planeswalker — Sarkhan,5,Loyalty: 4,"+1: Draw a card, then add one mana of any color.−2: Create a 4/4 red Dragon creature token with flying.−8: Search your library for any number of Dragon creature cards, put them onto the battlefield, then shuffle.",Mítica,R$ 299.99 
99,"Chandra, Pyromaster",Legendary Planeswalker — Chandra,4,Loyalty: 4,"+1: Chandra, Pyromaster deals 1 damage to target player or planeswalker and 1 damage to up to one target creature that player or that planeswalker’s controller controls. That creature can’t block this turn.0: Exile the top card of your library. You may play it this turn.−7: Exile the top ten cards of your library. Choose an instant or sorcery card exiled this way and copy it three times. You may cast the copies without paying their mana costs.",Mítica,R$ 5.00 
100,"Nissa, Worldwaker",Legendary Planeswalker — Nissa,5,Loyalty: 3,"+1: Target land you control becomes a 4/4 Elemental creature with trample. It’s still a land.+1: Untap up to four target Forests.−7: Search your library for any number of basic land cards, put them onto the battlefield, then shuffle. Those lands become 4/4 Elemental creatures with trample. They’re still lands.",Mítica,R$ 9.70 
101,"Tamiyo, Field Researcher",Legendary Planeswalker — Tamiyo,4,Loyalty: 4,"+1: Choose up to two target creatures. Until your next turn, whenever either of those creatures deals combat damage, you draw a card.−2: Tap up to two target nonland permanents. They don’t untap during their controller’s next untap step.−7: Draw three cards. You get an emblem with “You may cast spells from your hand without paying their mana costs.”",Mítica,R$ 0.00 
102,"Ugin, the Spirit Dragon",Legendary Planeswalker — Ugin,8,Loyalty: 7,"+2: Ugin, the Spirit Dragon deals 3 damage to any target.−X: Exile each permanent with mana value X or less that’s one or more colors.−10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.",Mítica,R$ 164.99 
103,"Ral, Izzet Viceroy",Legendary Planeswalker — Ral,5,Loyalty: 5,"+1: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.−3: Ral, Izzet Viceroy deals damage to target creature equal to the total number of instant and sorcery cards you own in exile and in your graveyard.−8: You get an emblem with “Whenever you cast an instant or sorcery spell, this emblem deals 4 damage to any target and you draw two cards.”",Mítica,R$ 3.50 
104,"Vraska, Golgari Queen",Legendary Planeswalker — Vraska,4,Loyalty: 4,"+2: You may sacrifice another permanent. If you do, you gain 1 life and draw a card.−3: Destroy target nonland permanent with mana value 3 or less.−9: You get an emblem with “Whenever a creature you control deals combat damage to a player, that player loses the game.”",Mítica,R$ 59.99
105,"Ral, Caller of Storms",Legendary Planeswalker — Ral,6,Loyalty: 4,"+1: Draw a card.−2: Ral, Caller of Storms deals 3 damage divided as you choose among one, two, or three targets.−7: Draw seven cards. Ral, Caller of Storms deals 7 damage to each creature your opponents control.",Mítica,R$ 3.14 
106,"Vraska, Regal Gorgon",Legendary Planeswalker — Vraska,7,Loyalty: 5,"+2: Put a +1/+1 counter on up to one target creature. That creature gains menace until end of turn.−3: Destroy target creature.−10: For each creature card in your graveyard, put a +1/+1 counter on each creature you control.",Mítica,R$ 3.00 
107,Mu Yanling,Legendary Planeswalker — Yanling,6,Loyalty: 5,+2: Target creature can’t be blocked this turn.−3: Draw two cards.−10: Tap all creatures your opponents control. You take an extra turn after this one.,Mítica,R$ 20.00 
108,Jiang Yanggu,Legendary Planeswalker — Yanggu,5,Loyalty: 4,"+1: Target creature gets +2/+2 until end of turn.−1: If you don’t control a creature named Mowu, create Mowu, a legendary 3/3 green Dog creature token.−5: Until end of turn, target creature gains trample and gets +X/+X, where X is the number of lands you control.",Mítica,R$ 5.00 
109,Domri Rade,Legendary Planeswalker — Domri,3,Loyalty: 3,"+1: Look at the top card of your library. If it’s a creature card, you may reveal it and put it into your hand.−2: Target creature you control fights another target creature.−7: You get an emblem with “Creatures you control have double strike, trample, hexproof, and haste.”",Mítica,R$ 7.95 
110,"Samut, the Tested",Legendary Planeswalker — Samut,4,Loyalty: 4,"+1: Up to one target creature gains double strike until end of turn.−2: Samut, the Tested deals 2 damage divided as you choose among one or two targets.−7: Search your library for up to two creature and/or planeswalker cards, put them onto the battlefield, then shuffle.",Mítica,R$ 4.50 
111,"Nissa, Genesis Mage",Legendary Planeswalker — Nissa,7,Loyalty: 5,+2: Untap up to two target creatures and up to two target lands.−3: Target creature gets +5/+5 until end of turn.−10: Look at the top ten cards of your library. You may put any number of creature and/or land cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order.,Mítica,R$ 9.90 
112,"Nicol Bolas, the Deceiver",Legendary Planeswalker — Bolas,8,Loyalty: 5,"+3: Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.−3: Destroy target creature. Draw a card.−11: Nicol Bolas, the Deceiver deals 7 damage to each opponent. You draw seven cards.",Mítica,R$ 32.00 
113,Garruk Relentless ,Legendary Planeswalker — Garruk,4,Loyalty: 3,"When Garruk Relentless has two or fewer loyalty counters on him, transform him.0: Garruk Relentless deals 3 damage to target creature. That creature deals damage equal to its power to him.0: Create a 2/2 green Wolf creature token.",Mítica,R$ 7.50 
114,"Kasmina, Enigmatic Mentor",Legendary Planeswalker — Kasmina,4,Loyalty: 5,"Spells your opponents cast that target a creature or planeswalker you control cost {2} more to cast.−2: Create a 2/2 blue Wizard creature token. Draw a card, then discard a card.",Incomum,R$ 0.25 
115,"Arlinn, Voice of the Pack",Legendary Planeswalker — Arlinn,6,Loyalty: 7,Each creature you control that’s a Wolf or a Werewolf enters the battlefield with an additional +1/+1 counter on it.−2: Create a 2/2 green Wolf creature token.,Incomum,R$ 0.74 
116,"Ajani, Strength of the Pride",Legendary Planeswalker — Ajani,4,Loyalty: 5,"+1: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.−2: Create a 2/2 white Cat Soldier creature token named Ajani’s Pridemate with “Whenever you gain life, put a +1/+1 counter on Ajani’s Pridemate.”0: If you have at least 15 life more than your starting life total, exile Ajani, Strength of the Pride and each artifact and creature your opponents control.",Mítica,R$ 18.00 
117,"Jace, Arcane Strategist",Legendary Planeswalker — Jace,6,Loyalty: 4,"Whenever you draw your second card each turn, put a +1/+1 counter on target creature you control.+1: Draw a card.−7: Creatures you control can’t be blocked this turn.",Mítica,R$ 7.73 
118,"Tezzeret, Artifice Master",Legendary Planeswalker — Tezzeret,5,Loyalty: 5,"+1: Create a 1/1 colorless Thopter artifact creature token with flying.0: Draw a card. If you control three or more artifacts, draw two cards instead.−9: You get an emblem with “At the beginning of your end step, search your library for a permanent card, put it onto the battlefield, then shuffle.”",Mítica,R$ 14.75 
119,"Ob Nixilis, the Hate-Twisted",Legendary Planeswalker — Nixilis,5,Loyalty: 5,"Whenever an opponent draws a card, Ob Nixilis, the Hate-Twisted deals 1 damage to that player.−2: Destroy target creature. Its controller draws two cards.",Incomum,R$ 0.95 
120,"Chandra, Flame's Fury",Legendary Planeswalker — Chandra,6,Loyalty: 4,"+1: Chandra, Flame’s Fury deals 2 damage to any target.−2: Chandra, Flame’s Fury deals 4 damage to target creature and 2 damage to that creature’s controller.−8: Chandra, Flame’s Fury deals 10 damage to target player and each creature that player controls.",Mítica,R$ 6.43 
121,"Sarkhan, the Dragonspeaker",Legendary Planeswalker — Sarkhan,5,Loyalty: 4,"+1: Until end of turn, Sarkhan, the Dragonspeaker becomes a legendary 4/4 red Dragon creature with flying, indestructible, and haste. (He doesn’t lose loyalty while he’s not a planeswalker.)−3: Sarkhan, the Dragonspeaker deals 4 damage to target creature.−6: You get an emblem with “At the beginning of your draw step, draw two additional cards” and “At the beginning of your end step, discard your hand.”",Mítica,R$ 1.49 
122,"Ajani, Mentor of Heroes",Legendary Planeswalker — Ajani,5,Loyalty: 4,"+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.−8: You gain 100 life.",Mítica,R$ 68.98 
123,"Nissa, Vital Force",Legendary Planeswalker — Nissa,5,Loyalty: 5,"+1: Untap target land you control. Until your next turn, it becomes a 5/5 Elemental creature with haste. It’s still a land.−3: Return target permanent card from your graveyard to your hand.−6: You get an emblem with “Whenever a land enters the battlefield under your control, you may draw a card.”",Mítica,R$ 0.00 
124,Dovin Baan,Legendary Planeswalker — Dovin,4,Loyalty: 3,"+1: Until your next turn, up to one target creature gets -3/-0 and its activated abilities can’t be activated.−1: You gain 2 life and draw a card.−7: You get an emblem with “Your opponents can’t untap more than two permanents during their untap steps.”",Mítica,R$ 0.00 
125,Saheeli Rai,Legendary Planeswalker — Saheeli,3,Loyalty: 3,"+1: Scry 1. Saheeli Rai deals 1 damage to each opponent.−2: Create a token that’s a copy of target artifact or creature you control, except it’s an artifact in addition to its other types. That token gains haste. Exile it at the beginning of the next end step.−7: Search your library for up to three artifact cards with different names, put them onto the battlefield, then shuffle.",Mítica,R$ 0.00 
126,"Chandra, Pyrogenius",Legendary Planeswalker — Chandra,6,Loyalty: 5,"+2: Chandra, Pyrogenius deals 2 damage to each opponent.−3: Chandra, Pyrogenius deals 4 damage to target creature.−10: Chandra, Pyrogenius deals 6 damage to target player or planeswalker and each creature that player or that planeswalker’s controller controls.",Mítica,R$ 8.90 
127,"Nissa, Nature's Artisan",Legendary Planeswalker — Nissa,6,Loyalty: 5,+3: You gain 3 life.−4: Reveal the top two cards of your library. Put all land cards from among them onto the battlefield and the rest into your hand.−12: Creatures you control get +5/+5 and gain trample until end of turn.,Mítica,R$ 29.99 
128,"Sorin, Solemn Visitor",Legendary Planeswalker — Sorin,4,Loyalty: 4,"+1: Until your next turn, creatures you control get +1/+0 and gain lifelink.−2: Create a 2/2 black Vampire creature token with flying.−6: You get an emblem with “At the beginning of each opponent’s upkeep, that player sacrifices a creature.”",Mítica,R$ 4.95 
129,Quintorius Kand,Legendary Planeswalker — Quintorius,5,Loyalty: 4,"Whenever you cast a spell from exile, Quintorius Kand deals 2 damage to each opponent and you gain 2 life.+1: Create a 3/2 red and white Spirit creature token.−3: Discover 4.−6: Exile any number of target cards from your graveyard. Add {R} for each card exiled this way. You may play those cards this turn.",Mítica,R$ 29.95 
130,Ajani Goldmane,Legendary Planeswalker — Ajani,4,Loyalty: 4,+1: You gain 2 life.−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.−6: Create a white Avatar creature token. It has “This creature’s power and toughness are each equal to your life total.”,Mítica,R$ 89.00
131,"Jace, Memory Adept",Legendary Planeswalker — Jace,5,Loyalty: 4,+1: Draw a card. Target player mills a card.0: Target player mills ten cards.−7: Any number of target players each draw twenty cards.,Mítica,R$ 6.75 
